code,title,product_type,current_stock,current_unit_cost,ecom_units,all_shopify_units,first_sale,last_sale,sales_days,jul_01_15,jul_16_31,aug_01_15,aug_16_20,aug_21_27,last3_aug25_27,aug27
"910B8658NSZ","Zaino Disappearing Shark Backpack","Zaini","1","67","2","2","2026-08-25","2026-08-27","2","0","0","0","0","2","2","1"
"910B8666NSZ","Zaino Crazy Thoughts Backpack","Zaini","3","36.5","2","2","2026-08-26","2026-08-27","2","0","0","0","0","2","2","1"
"910B8876NSZ","Zaino Raised Check Backpack","Zaini","8","52","2","2","2026-08-26","2026-08-26","1","0","0","0","0","2","2","0"
"910B8702NSZ","Zaino Brown Check Ghost Drip Backpack","Zaini","0","52","2","2","2026-08-26","2026-08-27","2","0","0","0","0","2","2","1"
"910B9354NSZ","Center Rip Revealing Gray Check Pouch","Pochette e Borselli","8","14","2","2","2026-08-26","2026-08-27","2","0","0","0","0","2","2","1"
"910B7993NSZ","Hennyville Toiletry Brick","Beauty Case","4","34","1","3","2026-07-30","2026-07-30","1","0","1","0","0","0","0","0"
"910T9378NSZ","Pink Panther Pawprints Tote","Borse","0","42","1","3","2026-08-22","2026-08-22","1","0","0","0","0","1","0","0"
"HANDLE:sprayground-tagged-up-sharks-in-paris-swm-sprswm2004","Tagged Up Sharks In Paris Swm","Costumi","0","35","1","2","2026-08-14","2026-08-14","1","0","0","1","0","0","0","0"
"910B8980NSZ","Zaino Monopoly Statue Backpack","Zaini","0","49.5","1","2","2026-08-10","2026-08-10","1","0","0","1","0","0","0","0"
"910W8971NSZ","Portafoglio Smeared Grunge","Portafogli","0","19","1","1","2026-07-03","2026-07-03","1","1","0","0","0","0","0","0"
"910T8970NSZ","Tote Smeared Grunge","Borse","0","38","1","1","2026-07-03","2026-07-03","1","1","0","0","0","0","0","0"
"910B8737NSZ","Zaino Upscale Check Dlxsv","Zaini","0","67","1","1","2026-07-15","2026-07-15","1","1","0","0","0","0","0","0"
"910B9043NSZ","Gold Brick Lux Brick Toiletry","Beauty Case","2","28","1","1","2026-07-22","2026-07-22","1","0","1","0","0","0","0","0"
"910D8944NSZ","Borsone Sip Balloon Nero","Borsoni e Valigie","0","72","1","1","2026-07-22","2026-07-22","1","0","1","0","0","0","0","0"
"910D8898NSZ","Borsa Red Redemption Mini Duffle","Borsoni e Valigie","0","52","1","1","2026-07-23","2026-07-23","1","0","1","0","0","0","0","0"
"910B7833NSZ","Sawtooth Sharks In Paris Savage","Zaini","0","52","1","1","2026-07-25","2026-07-25","1","0","1","0","0","0","0","0"
"910B9042NSZ","Borsello A Tracolla Gold Brick Lux","Pochette e Borselli","0","38","1","1","2026-07-28","2026-07-28","1","0","1","0","0","0","0","0"
"910B8298NSZ","Spritz Black Briefcase","Borse","1","72","1","1","2026-08-04","2026-08-04","1","0","0","1","0","0","0","0"
"910D8965NSZ","Borsone Smeared Grunge Large","Borsoni e Valigie","0","72","1","1","2026-08-06","2026-08-06","1","0","0","1","0","0","0","0"
"910B8007NSZ","Midnight Chateau Monte Carlo","Zaini","0","86","1","1","2026-08-07","2026-08-07","1","0","0","1","0","0","0","0"
"910B8744NSZ","Zaino Sharks In Paris Pyramid Backpack","Zaini","4","61","1","1","2026-08-07","2026-08-07","1","0","0","1","0","0","0","0"
"910B9560NSZ","Money Banks Handbag","Borse","1","52","1","1","2026-08-13","2026-08-13","1","0","0","1","0","0","0","0"
"910B9307NSZ","Sharks In Paris Wtf Bubble Brown Check Crossover Clutch","Pochette e Borselli","9","28","1","1","2026-08-14","2026-08-14","1","0","0","1","0","0","0","0"
"910B8904NSZ","Astuccio Red Redemption","Pochette e Borselli","0","17","1","1","2026-08-17","2026-08-17","1","0","0","0","1","0","0","0"
"910T9478NSZ","2 Tone Gold Trinity Tote","Borse","1","84","1","1","2026-08-17","2026-08-17","1","0","0","0","1","0","0","0"
"910B6921NSZ","Marsupio Fur Graff","Pochette e Borselli","0","40","1","1","2026-08-18","2026-08-18","1","0","0","0","1","0","0","0"
"910B8968NSZ","Beauty Case Smeared Grunge","Beauty Case","4","28","1","1","2026-08-21","2026-08-21","1","0","0","0","0","1","0","0"
"910B7840NSZ","Sawtooth Sharks In Paris Toiletry Brick","Beauty Case","6","34","1","1","2026-08-21","2026-08-21","1","0","0","0","0","1","0","0"
"910B9481NSZ","2 Tone Gold Trinity Crossover Clutch","Pochette e Borselli","2","45.5","1","1","2026-08-23","2026-08-23","1","0","0","0","0","1","0","0"
"910B8880NSZ","Zaino Marvel Wolverine Sharkmouth Tear Up Backpack","Zaini","2","49.5","1","1","2026-08-26","2026-08-26","1","0","0","0","0","1","1","0"
"910B9349NSZ","Center Rip Revealing Gray Check Messenger Sling","Pochette e Borselli","4","34","1","1","2026-08-26","2026-08-26","1","0","0","0","0","1","1","0"
"910B9177NSZ","Zaino Looney Carrot Stash Backpack","Zaini","4","49.5","1","1","2026-08-27","2026-08-27","1","0","0","0","0","1","1","1"
"910B9079NSZ","Zaino Inspector Gadget Gadget Hands Backpack","Zaini","2","49.5","1","1","2026-08-27","2026-08-27","1","0","0","0","0","1","1","1"
"910B9323NSZ","Pink New Check Faces Pouch","Pochette e Borselli","9","14","1","1","2026-08-27","2026-08-27","1","0","0","0","0","1","1","1"
"910B8472NSZ","Zaino Black Denim Tear Shark Backpack","Zaini","2","57","1","1","2026-08-27","2026-08-27","1","0","0","0","0","1","1","1"
"910W7868NSZ","Daybreak Wallet","Portafogli","0","23","0","2","","","0","0","0","0","0","0","0","0"
"910B8731NSZ","Zaino Henny Harness Dlxsv","Zaini","0","69","0","1","","","0","0","0","0","0","0","0","0"
"910B7968NSZ","Dripping Sharks In Paris Toiletry Brick","Beauty Case","0","34","0","1","","","0","0","0","0","0","0","0","0"
"910B8571NSZ","Zaino Red Redemption Dlxsv","Zaini","0","57","0","1","","","0","0","0","0","0","0","0","0"
"910B6875NSZ","Marsupio Dreamscape","Pochette e Borselli","0","40","0","1","","","0","0","0","0","0","0","0","0"
"910B8984NSZ","Pochette 3am Cream Crossbody","Pochette e Borselli","0","34","0","1","","","0","0","0","0","0","0","0","0"
"910W9046NSZ","Portafoglio Gold Brick Lux","Portafogli","0","22.5","0","1","","","0","0","0","0","0","0","0","0"
"910B8790NSZ","Zaino Pink Panther Drippy Diamonds Dlxsv","Zaini","0","48","0","1","","","0","0","0","0","0","0","0","0"
"910B8735NSZ","Zaino Missing Bag Flyer Dlxsv Backpack China","Zaini","0","52","0","1","","","0","0","0","0","0","0","0","0"
"910T9015NSZ","Tote Bag Pink Sip Patch Rosa","Borse","0","52","0","1","","","0","0","0","0","0","0","0","0"
"910B8282NSZ","Jetstream Brown Toiletry Bag","Beauty Case","1","34","0","1","","","0","0","0","0","0","0","0","0"
"910B8908NSZ","Zaino Gray Peeking Character Check Savage","Zaini","3","38","0","1","","","0","0","0","0","0","0","0","0"
"910B8513NSZ","Zaino Midnight Osaka Payload","Zaini","0","110","0","1","","","0","0","0","0","0","0","0","0"
"910W9480NSZ","Portafoglio 2 Tone Gold Trinity Single Fold Wallet","Portafogli","2","22.5","0","1","","","0","0","0","0","0","0","0","0"
"910W9524NSZ","Portafoglio Metallic Pink Metallic Drip Single Fold Wallet","Portafogli","0","28","0","1","","","0","0","0","0","0","0","0","0"
"HANDLE:sprayground-camo-kawa-vice-swim-trunks-blue-sprsp755blue","Camo Kawa Vice Swim Trunks Blue","Costumi","0","37","0","1","","","0","0","0","0","0","0","0","0"
"910CL285NSZ","Check 2 Emboss Carry-on Luggage","Borsoni e Valigie","1","130","0","1","","","0","0","0","0","0","0","0","0"
"HANDLE:sprayground-camo-kawa-vice-swim-trunks-purple-sprsp755prpl","Camo Kawa Vice Swim Trunks Purple","Costumi","0","37","0","1","","","0","0","0","0","0","0","0","0"
"910B8690NSZ","Zaino Diablo Sketchy Hoodie Backpack","Zaini","1","45.5","0","1","","","0","0","0","0","0","0","0","0"
"910CL272NSZ","Dose Of Check Deux Carry-On Luggage","Borsoni e Valigie","0","115","0","1","","","0","0","0","0","0","0","0","0"
"910B9071NSZ","Zaino Looney Tunes Fight Cloud Backpack","Zaini","4","49.5","0","1","","","0","0","0","0","0","0","0","0"
"910B8848NSZ","Graff Embossed Cream Check Dlxsv Backpack","Zaini","1","52","0","1","","","0","0","0","0","0","0","0","0"
"910B8793NSZ","Zaino Money Banks Backpack","Zaini","4","52","0","1","","","0","0","0","0","0","0","0","0"
